classification;digit;code;OJI;OPI;OSI;CAI
kldb92;3;629;4;4;3;5
kldb92;3;631;6;7;3;8
kldb92;3;632;6;7;4;8
kldb92;3;633;5;7;3;9
kldb92;3;634;5;6;4;8
kldb92;3;641;1;2;1;4
kldb92;3;642;1;2;1;4
kldb92;3;651;6;6;8;8
kldb92;3;652;5;6;3;7
kldb92;3;660;6;7;7;5
kldb92;3;661;7;7;7;5
kldb92;3;662;6;6;6;5
kldb92;3;663;6;6;5;5
kldb92;3;670;4;4;3;4
kldb92;3;671;3;3;2;2
kldb92;3;672;5;5;4;4
kldb92;3;673;4;5;3;4
kldb92;3;674;4;5;3;5
kldb92;3;675;5;6;4;4
kldb92;3;676;5;5;5;5
kldb92;3;677;3;3;4;2
kldb92;3;678;3;4;3;3
kldb92;3;683;3;3;4;2
kldb92;3;685;4;4;4;4
kldb92;3;686;5;5;6;7
kldb92;3;687;4;4;4;4
kldb92;3;689;4;4;6;4
kldb92;3;691;1;1;1;1
kldb92;3;692;3;2;4;1
kldb92;3;695;1;2;3;2
kldb92;3;701;4;3;7;3
kldb92;3;702;4;4;7;5
kldb92;3;703;3;2;4;1
kldb92;3;704;3;2;5;3
kldb92;3;705;4;4;6;6
kldb92;3;706;4;4;6;5
kldb92;3;711;8;6;10;7
kldb92;3;712;8;6;10;5
kldb92;3;713;6;6;10;6
kldb92;3;714;7;6;10;7
kldb92;3;715;8;7;10;7
kldb92;3;716;10;9;10;8
kldb92;3;721;8;8;9;7
kldb92;3;723;9;9;9;6
kldb92;3;724;8;6;9;6
kldb92;3;726;8;6;10;6
kldb92;3;732;7;7;7;6
kldb92;3;735;5;4;9;4
kldb92;3;741;6;7;6;8
kldb92;3;742;7;7;9;8
kldb92;3;743;8;9;8;8
kldb92;3;744;8;8;9;7
kldb92;3;750;3;2;6;2
kldb92;3;751;3;3;5;3
kldb92;3;753;1;1;3;1
kldb92;3;754;1;1;2;1
kldb92;3;755;2;1;4;1
kldb92;3;756;3;2;3;2
kldb92;3;757;2;1;3;1
kldb92;3;761;3;1;6;2
kldb92;3;763;3;2;3;1
kldb92;3;764;2;1;3;1
kldb92;3;765;1;1;2;1
kldb92;3;771;1;2;2;1
kldb92;3;772;1;1;2;1
kldb92;3;773;5;4;9;3
kldb92;3;774;3;1;7;1
kldb92;3;775;3;1;5;1
kldb92;3;776;3;1;6;1
kldb92;3;777;3;1;5;1
kldb92;3;778;4;2;7;1
kldb92;3;779;2;1;5;1
kldb92;3;780;2;2;1;2
kldb92;3;782;1;2;1;4
kldb92;3;783;1;2;1;3
kldb92;3;784;1;3;1;3
kldb92;3;785;1;2;1;3
kldb92;3;786;1;2;1;2
kldb92;3;787;2;3;1;3
kldb92;3;788;2;3;1;3
kldb92;3;789;1;2;1;2
kldb92;3;791;8;6;10;7
kldb92;3;792;6;6;9;7
kldb92;3;793;6;5;8;7
kldb92;3;794;8;8;9;8
kldb92;3;795;9;8;9;10
kldb92;3;796;6;7;4;7
kldb92;3;801;6;5;9;7
kldb92;3;802;10;8;10;10
kldb92;3;803;8;8;9;8
kldb92;3;804;8;10;6;10
kldb92;3;805;8;7;9;8
kldb92;3;811;3;1;4;1
kldb92;3;812;2;2;3;1
kldb92;3;813;1;1;2;1
kldb92;3;814;4;4;8;4
kldb92;3;821;3;1;7;2
kldb92;3;822;2;2;3;4
kldb92;3;823;3;4;3;5
kldb92;3;831;5;4;8;5
kldb92;3;832;6;5;8;6
kldb92;3;833;5;5;7;6
kldb92;3;834;4;4;5;6
kldb92;3;835;6;5;8;6
kldb92;3;836;5;5;5;6
kldb92;3;837;5;5;5;5
kldb92;3;838;6;6;7;5
kldb92;3;839;5;5;5;6
